ds,col,Correlation,Statistic Similarity (Mean),Statistic Similarity (Median),Statistic Similarity (Standard Deviation),Range Coverage,Category Coverage
ds5_CopulaGAN_ep100_bs100.csv,LOC_BLANK,0.859292919406476,0.968747369180957,0.974025974025974,0.9662102967023957,1.0,
ds5_CopulaGAN_ep100_bs100.csv,BRANCH_COUNT,0.859292919406476,0.9931733383841453,0.9982993197278912,0.990719976809944,0.40646258503401356,
ds5_CopulaGAN_ep100_bs100.csv,CALL_PAIRS,0.859292919406476,0.9270595679566391,0.9166666666666666,0.9292572576449074,0.7916666666666666,
ds5_CopulaGAN_ep100_bs100.csv,LOC_CODE_AND_COMMENT,0.859292919406476,0.9937381600066807,0.9761904761904762,0.9817826923318254,0.9761904761904762,
ds5_CopulaGAN_ep100_bs100.csv,LOC_COMMENTS,0.859292919406476,0.9883860813313029,0.9871794871794872,0.9877713064284388,0.7051282051282051,
ds5_CopulaGAN_ep100_bs100.csv,CYCLOMATIC_DENSITY,0.859292919406476,0.8784509118513906,0.8780487804878049,0.9461946680541963,0.8048780487804879,
ds5_CopulaGAN_ep100_bs100.csv,DECISION_DENSITY,0.859292919406476,0.9951302681463274,1.0,0.9581980361133583,1.0,
ds5_CopulaGAN_ep100_bs100.csv,DESIGN_COMPLEXITY,0.859292919406476,0.9723760339137519,1.0,0.9762623337603541,0.8285714285714285,
ds5_CopulaGAN_ep100_bs100.csv,DESIGN_DENSITY,0.859292919406476,0.8727794214939458,0.7448979591836735,0.8035384635428305,1.0,
ds5_CopulaGAN_ep100_bs100.csv,ESSENTIAL_COMPLEXITY,0.859292919406476,0.9726975102996409,0.9710144927536232,0.991883164581508,0.34782608695652173,
ds5_CopulaGAN_ep100_bs100.csv,ESSENTIAL_DENSITY,0.859292919406476,0.9942165729987986,1.0,0.9506041659466264,1.0,
ds5_CopulaGAN_ep100_bs100.csv,LOC_EXECUTABLE,0.859292919406476,0.9978764496372934,0.9987760097919217,0.9871281912761816,0.8078335373317014,
ds5_CopulaGAN_ep100_bs100.csv,PARAMETER_COUNT,0.859292919406476,0.9313891360177556,1.0,0.9496505879438601,1.0,
ds5_CopulaGAN_ep100_bs100.csv,HALSTEAD_CONTENT,0.859292919406476,0.9981704038276716,0.9994920155260896,0.9760977843490629,0.18362987469716308,
ds5_CopulaGAN_ep100_bs100.csv,HALSTEAD_DIFFICULTY,0.859292919406476,0.9738727879435746,0.9790844093479885,0.9868602430584369,0.5542987230107068,
ds5_CopulaGAN_ep100_bs100.csv,HALSTEAD_EFFORT,0.859292919406476,0.998476016525948,0.9998063301885683,0.9907848317310873,0.22938527057394742,
ds5_CopulaGAN_ep100_bs100.csv,HALSTEAD_ERROR_EST,0.859292919406476,0.9950839676786783,0.9977382875605816,0.9745550529250103,0.13925686591276254,
ds5_CopulaGAN_ep100_bs100.csv,HALSTEAD_LEVEL,0.859292919406476,0.946286464110861,0.965,0.9446767430344575,0.77,
ds5_CopulaGAN_ep100_bs100.csv,MAINTENANCE_SEVERITY,0.859292919406476,0.973386311124237,0.4897959183673469,0.829834099931988,1.0,
ds5_CopulaGAN_ep100_bs100.csv,NORMALIZED_CYLOMATIC_COMPLEXITY,0.859292919406476,0.9334974443693725,0.9246231155778895,0.9864869054972687,0.9949748743718593,
ds5_CopulaGAN_ep100_bs100.csv,NUM_UNIQUE_OPERANDS,0.859292919406476,0.9872461772745125,0.98856416772554,0.9783187553745356,0.2846251588310038,
ds5_CopulaGAN_ep100_bs100.csv,NUM_UNIQUE_OPERATORS,0.859292919406476,0.9716146983865339,0.9850746268656716,0.9732402250795552,0.7462686567164178,
ds5_CopulaGAN_ep100_bs100.csv,NUMBER_OF_LINES,0.859292919406476,0.9668765322017441,0.9865168539325843,0.9705369295326163,0.45730337078651684,
ds5_CopulaGAN_ep100_bs100.csv,PERCENT_COMMENTS,0.859292919406476,0.9343856889771953,0.9829678518203109,0.9530032417175225,0.9793485203321269,
ds5_CopulaGAN_ep100_bs100.csv,c,0.859292919406476,0.9672753160235726,1.0,0.9612692305772328,1.0,
ds33_CTGAN_ep100_bs50.csv,V1,0.9342018196457111,0.9823576817844559,1.0,0.9813639172499075,0.9852941176470589,
ds33_CTGAN_ep100_bs50.csv,V6,0.9342018196457111,0.9653561189924589,0.984939799465779,0.9686832453047535,0.5784754567052791,
ds33_CTGAN_ep100_bs50.csv,V10,0.9342018196457111,0.9195872909699951,0.9333333333333333,0.976080060393496,1.0,
ds33_CTGAN_ep100_bs50.csv,V12,0.9342018196457111,0.9431186552906129,0.9592850049652433,0.9486436756138139,0.9632571996027806,
ds33_CTGAN_ep100_bs50.csv,V13,0.9342018196457111,0.9889668330725406,1.0,0.990847942438586,0.7142857142857143,
ds33_CTGAN_ep100_bs50.csv,V15,0.9342018196457111,0.9858834229009134,1.0,0.9948507869635481,0.52,
ds33_CTGAN_ep100_bs50.csv,Class,0.9342018196457111,0.9407860237761212,1.0,0.9397948129444746,1.0,
ds33_CTGAN_ep100_bs50.csv,V2,0.9342018196457111,0.9407860237761212,1.0,0.9397948129444746,1.0,1.0
ds33_CTGAN_ep100_bs50.csv,V3,0.9342018196457111,0.9407860237761212,1.0,0.9397948129444746,1.0,1.0
ds33_CTGAN_ep100_bs50.csv,V4,0.9342018196457111,0.9407860237761212,1.0,0.9397948129444746,1.0,1.0
ds33_CTGAN_ep100_bs50.csv,V7,0.9342018196457111,0.9407860237761212,1.0,0.9397948129444746,1.0,1.0
ds33_CTGAN_ep100_bs50.csv,V8,0.9342018196457111,0.9407860237761212,1.0,0.9397948129444746,1.0,1.0
ds33_CTGAN_ep100_bs50.csv,V9,0.9342018196457111,0.9407860237761212,1.0,0.9397948129444746,1.0,1.0
ds33_CTGAN_ep100_bs50.csv,V11,0.9342018196457111,0.9407860237761212,1.0,0.9397948129444746,1.0,1.0
